CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
519226,41.755285,-72.760735,2019-02-15,O,O,0,Unknown,CADWELL ST,,
811684,41.755547,-72.743703,2021-05-10,O,O,0,Unknown,1655 Boulevard,Main St,South Main 1
834863,41.72253,-72.76173,2021-08-01,O,O,0,Unknown,SOUTH RD,,
899243,41.793579,-72.752257,2022-01-25,O,O,0,Unknown,975 North Main Street,,
943133,41.75853,-72.74091,2022-03-11,A,C,0,Unknown,75 Memorial Rd.,,
373066,41.78695,-72.715234,2018-01-02,A,C,2,USRoute,44-E,Prospect Ave,Prospect Ave
373067,41.787168,-72.715684,2018-01-02,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
374751,41.78691,-72.76165,2018-01-02,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
375186,41.78648,-72.73536,2018-01-05,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
395947,41.787008,-72.717981,2018-01-08,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
377058,41.790706,-72.77816,2018-01-10,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
377948,41.790683,-72.778876,2018-01-11,A,B,2,USRoute,44-E,Albany Ave,Albany Ave
379659,41.790804,-72.780323,2018-01-13,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
380292,41.790728,-72.778971,2018-01-19,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
380293,41.78642,-72.73364,2018-01-20,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
381240,41.785712,-72.748909,2018-01-21,O,O,2,USRoute,44-W,Albany Ave,Albany Ave
382127,41.787292,-72.764616,2018-01-24,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
383732,41.78558,-72.74626,2018-01-30,O,O,2,USRoute,44-E,,
386770,41.786255,-72.743416,2018-01-30,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
386771,41.78594,-72.72418,2018-01-31,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
388050,41.790763,-72.779427,2018-02-03,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
389471,41.793598,-72.794764,2018-02-07,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
389472,41.793799,-72.795418,2018-02-07,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
390161,41.78709,-72.7178,2018-02-09,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
395427,41.786375,-72.732642,2018-02-28,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
395776,41.786489,-72.741025,2018-03-02,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
396135,41.786407,-72.735467,2018-03-02,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
396943,41.790668,-72.777319,2018-03-07,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
403694,41.785866,-72.752036,2018-03-25,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
402099,41.7861,-72.74508,2018-03-26,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
403175,41.785579,-72.749027,2018-03-29,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
403911,41.79228,-72.789085,2018-04-03,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
407562,41.786539,-72.739641,2018-04-11,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
408278,41.78739,-72.76624,2018-04-16,A,C,2,USRoute,44-E,Albany Ave,Albany Ave
407945,41.787074,-72.763302,2018-04-17,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
408049,41.78697,-72.766194,2018-04-18,A,C,2,USRoute,44-E,Mountain Rd,Mountain Rd N1
411385,41.785589,-72.748728,2018-05-01,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
416136,41.787404,-72.766205,2018-05-05,O,O,2,USRoute,44-E,Albany Ave,Albany Ave
