CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
519226,41.755285,-72.760735,2019-02-15,O,O,0,Unknown,CADWELL ST,,
811684,41.755547,-72.743703,2021-05-10,O,O,0,Unknown,1655 Boulevard,,
834863,41.72253,-72.76173,2021-08-01,O,O,0,Unknown,SOUTH RD,,
899243,41.793579,-72.752257,2022-01-25,O,O,0,Unknown,975 North Main Street,,
943133,41.75853,-72.74091,2022-03-11,A,C,0,Unknown,75 Memorial Rd.,,
373066,41.78695,-72.715234,2018-01-02,A,C,2,USRoute,44-E,,
373067,41.787168,-72.715684,2018-01-02,O,O,2,USRoute,44-E,,
374751,41.78691,-72.76165,2018-01-02,O,O,2,USRoute,44-E,,
375186,41.78648,-72.73536,2018-01-05,O,O,2,USRoute,44-E,,
395947,41.787008,-72.717981,2018-01-08,O,O,2,USRoute,44-E,,
377058,41.790706,-72.77816,2018-01-10,O,O,2,USRoute,44-E,,
377948,41.790683,-72.778876,2018-01-11,A,B,2,USRoute,44-E,,
379659,41.790804,-72.780323,2018-01-13,O,O,2,USRoute,44-E,,
380292,41.790728,-72.778971,2018-01-19,O,O,2,USRoute,44-E,,
380293,41.78642,-72.73364,2018-01-20,O,O,2,USRoute,44-E,,
381240,41.785712,-72.748909,2018-01-21,O,O,2,USRoute,44-W,,
382127,41.787292,-72.764616,2018-01-24,A,C,2,USRoute,44-E,,
383732,41.78558,-72.74626,2018-01-30,O,O,2,USRoute,44-E,,
386770,41.786255,-72.743416,2018-01-30,O,O,2,USRoute,44-E,,
386771,41.78594,-72.72418,2018-01-31,O,O,2,USRoute,44-E,,
388050,41.790763,-72.779427,2018-02-03,O,O,2,USRoute,44-E,,
389471,41.793598,-72.794764,2018-02-07,A,C,2,USRoute,44-E,,
389472,41.793799,-72.795418,2018-02-07,A,C,2,USRoute,44-E,,
390161,41.78709,-72.7178,2018-02-09,A,C,2,USRoute,44-E,,
395427,41.786375,-72.732642,2018-02-28,O,O,2,USRoute,44-E,,
395776,41.786489,-72.741025,2018-03-02,O,O,2,USRoute,44-E,,
396135,41.786407,-72.735467,2018-03-02,O,O,2,USRoute,44-E,,
396943,41.790668,-72.777319,2018-03-07,O,O,2,USRoute,44-E,,
403694,41.785866,-72.752036,2018-03-25,O,O,2,USRoute,44-E,,
402099,41.7861,-72.74508,2018-03-26,O,O,2,USRoute,44-E,,
403175,41.785579,-72.749027,2018-03-29,O,O,2,USRoute,44-E,,
403911,41.79228,-72.789085,2018-04-03,A,C,2,USRoute,44-E,,
407562,41.786539,-72.739641,2018-04-11,O,O,2,USRoute,44-E,,
408278,41.78739,-72.76624,2018-04-16,A,C,2,USRoute,44-E,,
407945,41.787074,-72.763302,2018-04-17,O,O,2,USRoute,44-E,,
408049,41.78697,-72.766194,2018-04-18,A,C,2,USRoute,44-E,,
411385,41.785589,-72.748728,2018-05-01,O,O,2,USRoute,44-E,,
416136,41.787404,-72.766205,2018-05-05,O,O,2,USRoute,44-E,,
413111,41.787563,-72.766934,2018-05-07,O,O,2,USRoute,44-E,,
415388,41.786013,-72.72397,2018-05-08,A,C,2,USRoute,44-E,,
415431,41.785822,-72.746399,2018-05-10,O,O,2,USRoute,44-E,,
415453,41.785934,-72.724534,2018-05-11,A,C,2,USRoute,44-E,,
415562,41.786582,-72.739711,2018-05-14,O,O,2,USRoute,44-E,,
415563,41.786022,-72.752427,2018-05-14,O,O,2,USRoute,44-E,,
418773,41.788602,-72.772085,2018-05-17,A,B,2,USRoute,44-E,,
422079,41.79069,-72.777861,2018-05-31,O,O,2,USRoute,44-E,,
423546,41.78984,-72.775332,2018-05-31,O,O,2,USRoute,44-E,,
426063,41.79156242,-72.78514377,2018-06-08,O,O,2,USRoute,44-E,,
426291,41.785966,-72.745877,2018-06-11,A,C,2,USRoute,44-E,,
426300,41.787212,-72.764517,2018-06-12,O,O,2,USRoute,44-E,,
426303,41.785633,-72.748849,2018-06-12,O,O,2,USRoute,44-E,,
428839,41.78649,-72.740954,2018-06-18,O,O,2,USRoute,44-E,,
429223,41.78594,-72.72418,2018-06-25,A,C,2,USRoute,44-E,,
431089,41.787206,-72.764814,2018-06-29,O,O,2,USRoute,44-E,,
430436,41.79088,-72.780059,2018-06-30,O,O,2,USRoute,44-E,,
435164,41.791388,-72.782878,2018-07-03,O,O,2,USRoute,44-E,,
439913,41.786591,-72.740465,2018-07-14,A,C,2,USRoute,44-E,,
440054,41.78656,-72.74094,2018-07-19,A,C,2,USRoute,44-E,,
440056,41.793165,-72.792617,2018-07-19,A,C,2,USRoute,44-E,,
443357,41.787174,-72.766235,2018-07-25,O,O,2,USRoute,44-E,,
452890,41.785672,-72.747518,2018-07-27,O,O,2,USRoute,44-E,,
445359,41.785982,-72.723996,2018-07-31,A,B,2,USRoute,44-E,,
447185,41.78594,-72.72418,2018-08-03,O,O,2,USRoute,44-E,,
458163,41.788116,-72.7681,2018-08-10,A,B,2,USRoute,44-E,,
447486,41.78711,-72.71559,2018-08-17,O,O,2,USRoute,44-E,,
451989,41.785898,-72.724133,2018-08-25,A,B,2,USRoute,44-E,,
451990,41.785942,-72.724,2018-08-27,O,O,2,USRoute,44-E,,
455882,41.786924,-72.761706,2018-08-28,O,O,2,USRoute,44-E,,
458299,41.786395,-72.733789,2018-09-02,A,C,2,USRoute,44-E,,
456992,41.78646,-72.741222,2018-09-06,O,O,2,USRoute,44-E,,
457013,41.786364,-72.755674,2018-09-07,A,C,2,USRoute,44-E,,
457071,41.78594,-72.72418,2018-09-10,O,O,2,USRoute,44-E,,
461212,41.786401,-72.731296,2018-09-10,O,O,2,USRoute,44-E,,
460432,41.790823,-72.77977,2018-09-11,A,B,2,USRoute,44-E,,
460433,41.78595,-72.75232,2018-09-11,O,O,2,USRoute,44-E,,
458166,41.786006,-72.745033,2018-09-12,O,O,2,USRoute,44-E,,
457535,41.786453,-72.741158,2018-09-13,A,C,2,USRoute,44-E,,
483290,41.793091,-72.793549,2018-09-13,A,C,2,USRoute,44-E,,
460599,41.785617,-72.749188,2018-09-15,O,O,2,USRoute,44-E,,
461219,41.7863,-72.744663,2018-09-17,O,O,2,USRoute,44-E,,
461227,41.78596,-72.724199,2018-09-19,O,O,2,USRoute,44-E,,
508149,41.787154,-72.715286,2018-09-19,A,C,2,USRoute,44-E,,
461236,41.785556,-72.748981,2018-09-21,O,O,2,USRoute,44-E,,
461237,41.786338,-72.75604,2018-09-22,O,O,2,USRoute,44-E,,
467139,41.78716,-72.71529,2018-09-25,O,O,2,USRoute,44-E,,
466718,41.78577,-72.74714,2018-09-27,O,O,2,USRoute,44-E,,
467497,41.78628,-72.72179,2018-10-03,O,O,2,USRoute,44-E,,
467199,41.789678,-72.775053,2018-10-05,O,O,2,USRoute,44-E,,
468645,41.786005,-72.724132,2018-10-10,O,O,2,USRoute,44-E,,
495100,41.785374,-72.749275,2018-10-17,O,O,2,USRoute,44-E,,
470735,41.78594,-72.72418,2018-10-19,O,O,2,USRoute,44-E,,
471009,41.786487,-72.741311,2018-10-24,O,O,2,USRoute,44-E,,
473133,41.786495,-72.741321,2018-11-02,O,O,2,USRoute,44-E,,
477754,41.785573,-72.748958,2018-11-02,O,O,2,USRoute,44-E,,
